Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Year,IPLWinner
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Banglore,Delhi Capitals,,,,2008,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,,,2009,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,,,2010,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,,,2011,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,,,2012,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,,,2013,Mumbai Indians
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,,,2014,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,,,2015,Mumbai Indians
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,,,2016,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,,,2017,Mumbai Indians
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,,,2018,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,,,2019,Mumbai Indians
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,,,2020,Mumbai Indians
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,,Lucknow Super Giants,2021,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,Gujarat Titans,Lucknow Super Giants,2022,Gujarat Titans
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,Gujarat Titans,Lucknow Super Giants,2023,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,Gujarat Titans,Lucknow Super Giants,2024,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,Sunrisers Hyderabad,Gujarat Titans,Lucknow Super Giants,2025,Royal Challengers Banglore
