Team1,Team2,Team3,Team4,Team5,Team6,Year,PSLWinner
Islamabad United,Karachi Kings,Quetta Gladiators,Peshawar Zalmi,Lahore Qalandars,,2016,Islamabad United
Islamabad United,Karachi Kings,Quetta Gladiators,Peshawar Zalmi,Lahore Qalandars,,2017,Peshawar Zalmi
Islamabad United,Karachi Kings,Quetta Gladiators,Peshawar Zalmi,Lahore Qalandars,Multan Sultans,2018,Islamabad United
Islamabad United,Karachi Kings,Quetta Gladiators,Peshawar Zalmi,Lahore Qalandars,Multan Sultans,2019,Quetta Gladiators
Islamabad United,Karachi Kings,Quetta Gladiators,Peshawar Zalmi,Lahore Qalandars,Multan Sultans,2020,Karachi Kings
Islamabad United,Karachi Kings,Quetta Gladiators,Peshawar Zalmi,Lahore Qalandars,Multan Sultans,2021,Multan Sultans
Islamabad United,Karachi Kings,Quetta Gladiators,Peshawar Zalmi,Lahore Qalandars,Multan Sultans,2022,Lahore Qalandars
Islamabad United,Karachi Kings,Quetta Gladiators,Peshawar Zalmi,Lahore Qalandars,Multan Sultans,2023,Lahore Qalandars
Islamabad United,Karachi Kings,Quetta Gladiators,Peshawar Zalmi,Lahore Qalandars,Multan Sultans,2024,Islamabad United
Islamabad United,Karachi Kings,Quetta Gladiators,Peshawar Zalmi,Lahore Qalandars,Multan Sultans,2025,Lahore Qalandars
